id,numeroRNT,vencimientoRNT,registroSuperTur,categoria,direccion,horaApertura,horaCierre,tiempoMinimo,gananciaAnioActual,gananciaAnioCorrido
_zfotheringhamgq,3714371486,2021-06-27,627-15-1184,APARTAMENTO,3177 Longview Park,5:42,16:13,21,70798,84976
_babbesso9,0733549306,2019-11-24,432-52-6174,HOSTAL,385 Blackbird Alley,18:22,17:02,24,88356,91794
_krussenpc,4470964166,2022-08-13,245-84-4002,VIVIENDA_U,25 Kim Street,1:33,23:24,26,76441,83913
_ktompsett4q,3092262573,2024-08-16,568-43-2455,APARTAMENTO,5 Annamark Junction,22:46,12:41,30,70154,5432
_edrewitt21,5055645679,2024-11-15,410-88-0094,HOSTAL,00154 Vidon Drive,5:51,7:28,13,83966,87520
_dcaccavella92,9650714227,2020-11-02,731-20-5528,P_NATURAL,4548 Nova Drive,0:41,22:23,25,51577,31366
_wquiggnv,1059778386,2022-04-19,544-95-7084,VECINOS,65244 Loomis Way,23:56,21:40,4,45433,72650
_ericeardsa3,4849911056,2019-08-13,243-32-4308,APARTAMENTO,9 Nelson Park,6:02,3:06,14,63542,67055
_lpietraszekl3,5841993097,2023-03-09,320-09-8631,P_NATURAL,153 Oak Valley Point,4:32,13:22,14,13964,6529
_bbayleyjm,6211700458,2023-10-07,252-02-9963,VECINOS,8 Waxwing Place,0:57,4:41,8,94674,51938
_mconklin5t,7236031437,2022-06-28,540-23-5367,HOSTAL,97933 Forster Point,6:34,1:52,25,74227,13608
_breeveleydk,1099193672,2021-02-03,710-63-3230,HOTEL,322 Chive Street,5:46,15:27,24,52810,16667
_eblaik6k,5360524464,2023-09-17,640-22-1658,VIVIENDA_U,25717 Milwaukee Junction,8:41,7:57,9,37943,19734
_sbartolijnaw,6548827082,2024-05-13,392-50-0934,HOSTAL,0026 Caliangt Plaza,2:19,17:57,22,75650,54941
_lspirito8,2250964610,2024-05-30,758-86-5131,VECINOS,82 Huxley Park,0:29,5:21,20,80868,18611
_jsoarese3,7642060602,2022-04-26,267-03-8422,HOSTAL,1 Elmside Junction,16:30,11:06,7,60914,61766
_mbatramqv,2804319350,2020-11-06,173-38-0440,HOTEL,717 Katie Parkway,7:40,16:52,12,84242,38670
_aextenceht,6243285936,2024-12-24,826-85-0839,VECINOS,201 Elmside Parkway,14:37,6:16,23,12707,11686
_amacaughtriehm,7294429642,2022-06-28,444-89-0809,P_NATURAL,72508 Brickson Park Pass,7:25,5:41,23,55258,39774
_dblackmuirf1,3814523113,2022-06-17,585-71-3602,APARTAMENTO,498 Holy Cross Avenue,10:26,20:47,19,62703,48195
_adowryev,4672321533,2023-05-06,510-31-0892,HOSTAL,0 Burning Wood Junction,1:39,8:26,24,45692,61964
_ecaraher2,9617868733,2022-08-15,421-82-5247,HOTEL,3 Roth Court,0:15,0:01,2,82737,97364
_akestonc6,8629862807,2021-03-13,369-31-7704,P_NATURAL,56 Eastlawn Trail,17:54,4:06,5,42491,81004
_hburtwistlerq,0412793369,2022-07-19,267-79-9369,VECINOS,0 Dixon Plaza,20:32,22:37,4,45133,57184
_sseggie7b,1477559086,2019-07-19,623-94-3550,VECINOS,078 Merrick Crossing,4:58,15:50,10,99760,84456
_zhuddyna,8990276519,2023-02-14,217-58-1246,VIVIENDA_U,0592 Everett Park,14:15,0:59,8,60987,7611
_acastiellop0,9875254800,2023-06-14,841-88-4271,VECINOS,376 Service Street,3:44,20:17,17,99450,76968
_gseamen5d,4043421834,2022-10-12,372-64-9678,P_NATURAL,766 Harbort Way,12:05,14:09,18,38061,11162
_broonyi7,8377818639,2022-04-06,730-33-4680,VECINOS,25 Ludington Plaza,4:57,14:56,2,30529,51098
_dbatramlf,9378753256,2023-09-22,850-87-2971,HOSTAL,6082 Lawn Trail,20:48,23:52,16,4268,40334
_asuttie7m,3757599179,2020-12-07,656-98-1793,HOSTAL,2411 Washington Parkway,7:53,2:55,6,7096,40535
_mtambling1k,0405197268,2024-03-04,322-02-4419,P_NATURAL,39 Loftsgordon Hill,12:25,18:20,25,80449,40452
_wdamerellqw,8935786632,2023-10-04,321-16-0912,VIVIENDA_U,71706 Pawling Junction,12:09,16:41,20,38688,42760
_klakindi,5301665618,2024-10-20,679-48-7350,APARTAMENTO,16057 Dunning Court,12:58,10:56,25,46754,31895
_bdelamarpi,1412663172,2020-08-06,398-97-5772,HOSTAL,568 Brentwood Street,9:04,5:00,7,84325,8666
_lalowayha,7492057784,2023-04-04,854-47-2582,VIVIENDA_U,81 Glendale Place,11:59,7:30,20,84593,88201
_dridingir,4436567230,2022-06-30,265-66-9877,HOTEL,53107 Ridgeway Parkway,5:58,6:56,29,97354,10008
_dwearnegy,9161835625,2020-02-10,296-65-5356,VECINOS,48716 Stoughton Court,7:44,9:09,19,16746,5127
_tdiruggerocc,5906652973,2019-10-28,355-16-1670,APARTAMENTO,6169 Independence Center,14:29,9:28,1,1650,13870
_rdownbg,4357117259,2024-01-03,249-94-5878,HOTEL,642 Twin Pines Way,11:40,8:57,11,41855,24883
_lmoattbb,2253938440,2022-12-27,452-55-5176,HOTEL,66 Moland Terrace,1:01,13:48,18,45877,96728
_rmeeke20,8668000950,2022-02-03,239-20-7327,VECINOS,30 Daystar Court,18:46,9:06,4,57577,97044
_mtille2c,4293657185,2023-12-31,291-16-9549,VIVIENDA_U,0043 Haas Point,14:24,15:36,19,14303,53135
_tnoyesd1,3670265066,2021-04-03,326-72-2780,VECINOS,7 Nancy Crossing,4:25,1:31,27,62877,5229
_ihanbridgeks,6395445758,2020-03-20,714-31-5040,VECINOS,58 Warrior Alley,19:27,23:41,24,42567,39017
_sdingle9s,7403192826,2020-06-24,168-33-7072,HOSTAL,2 Clarendon Park,16:41,6:38,23,78825,38253
