id,numeroRNT,vencimientoRNT,registroSuperTur,categoria,direccion,horaApertura,horaCierre,tiempoMinimo,gananciaAnioActual,gananciaAnioCorrido
_-jfrearsma,5136904445,2020-12-03,325-09-4266,HOSTAL,1051 Cody Junction,13:48,9:03,20,38367,12335
_-gcaddyfj,1152662236,2019-06-06,739-83-8514,VECINOS,6996 Blue Bill Park Junction,1:25,15:34,23,85764,51713
_-cfreddi7t,1882411803,2023-10-06,271-62-7927,VECINOS,9368 Prairie Rose Point,22:17,11:11,18,69251,58101
_-dackred35,0918489636,2025-03-08,108-38-1868,HOTEL,50032 Stuart Parkway,13:19,21:02,20,69806,63288
_-twandrackd2,5545711899,2025-05-18,757-61-2996,VIVIENDA_U,15 Declaration Court,11:55,15:51,3,46288,57255
_-aharnell9w,8683758834,2024-06-20,567-42-4647,HOTEL,86293 Northridge Plaza,8:24,4:46,12,19070,72481
_-kmacdonnell6s,2035173183,2021-05-31,579-69-8068,APARTAMENTO,7 Stang Lane,20:06,15:12,7,95413,39412
_-spicfordcn,6065223905,2022-03-13,291-94-0925,HOTEL,86788 Hazelcrest Plaza,17:57,9:41,27,93129,52606
_-poffiler6y,7498683954,2020-07-25,350-50-3168,VECINOS,9 Arizona Circle,16:35,11:01,27,29337,31156
_-kagglio57,1962592782,2024-03-17,293-75-0369,P_NATURAL,38 Wayridge Pass,21:14,4:17,10,19120,28815
_-apoland14,9952161077,2021-12-17,811-42-7171,APARTAMENTO,3285 Little Fleur Point,7:43,20:12,26,41271,85736
_-hcapellei0,1797627767,2019-10-22,112-60-0074,APARTAMENTO,8 Hallows Terrace,9:29,2:38,26,560,31997
_-tcarnduff77,5716524761,2024-03-28,770-44-5948,HOSTAL,393 Sunnyside Plaza,6:00,3:44,19,28420,65604
_-akeat9p,6885460621,2021-11-04,343-66-4823,APARTAMENTO,7389 Dakota Alley,2:27,4:39,3,15070,31600
_-blocheadn1,7447282251,2024-06-08,717-81-5923,VECINOS,0 Bartelt Way,18:29,20:18,11,44418,5613
_-nrabbattsei,7695199680,2021-07-24,358-44-0915,VECINOS,84 Birchwood Lane,11:42,0:45,21,31068,47393
_-rturmellih,1393418635,2022-02-27,690-60-6521,APARTAMENTO,54901 Cardinal Terrace,11:22,22:59,28,27269,380
_-oveneurrl,3435520485,2020-03-22,228-58-7708,HOSTAL,4 Lukken Crossing,17:33,9:19,23,90462,16474
_-ajorryjt,1866079107,2024-02-21,404-18-1664,HOSTAL,0 Nancy Avenue,17:09,3:23,12,66133,74462
_-wdreelanlw,2658086539,2019-09-16,609-63-7341,VIVIENDA_U,9 Pearson Alley,19:00,20:38,26,82560,7894
_-ahaffendenic,8019412689,2025-03-29,501-05-1507,APARTAMENTO,710 Twin Pines Circle,3:02,12:06,28,1998,84796
_-jculpenn7,0474551377,2023-05-24,726-56-8261,P_NATURAL,71483 Spohn Pass,2:22,22:44,27,21341,57898
_-lranklingr4,3547034426,2022-08-21,637-93-9302,APARTAMENTO,3 Lakewood Gardens Terrace,15:58,22:31,26,17744,12284
_-dknowlerg7,6209106951,2021-01-10,551-82-4488,HOSTAL,413 Helena Junction,8:14,15:33,3,52200,85762
_-lellingsax,5521757147,2021-06-20,530-45-9065,APARTAMENTO,76489 Logan Road,4:11,7:15,3,79057,8409
_-sshwalbeq6,0212410822,2020-12-13,579-34-7332,P_NATURAL,69 Bayside Center,20:23,23:46,26,50766,75751
_-rpyecroftm2,7415650921,2025-05-05,700-08-6195,HOTEL,922 Kingsford Plaza,10:02,23:04,17,63658,38036
_-tsiehardo3,5797268930,2022-02-21,771-73-4301,P_NATURAL,99 Mallard Avenue,17:20,7:29,5,51130,15618
_-uhullotd4,3803822459,2023-01-04,401-87-1113,HOSTAL,5652 Homewood Place,19:13,5:06,8,90131,35104
_-lfendt9r,2425111425,2019-10-22,705-99-2130,APARTAMENTO,0649 Sugar Lane,9:28,11:08,18,68356,59341
_-asawkindl,0308378865,2021-06-29,637-65-8982,HOSTAL,947 Warrior Place,10:01,5:26,15,30638,96808
_-mzealeymt,0966796071,2024-10-19,320-35-2803,VIVIENDA_U,2390 Marquette Alley,19:43,16:42,28,11531,33838
_-oalldis5d,5329441560,2020-05-20,587-38-4850,HOTEL,8 Darwin Lane,6:46,14:38,30,38826,97421
_-fjantel98,6064877936,2024-04-04,305-64-1021,APARTAMENTO,5814 Pierstorff Trail,23:28,5:13,19,95721,48176
_-qtrattonby,9987115209,2022-01-08,379-34-2514,HOTEL,62 Evergreen Junction,7:44,21:46,3,75651,39333
_-cfaircloughn5,3705512587,2022-10-20,697-57-5260,APARTAMENTO,1 Warbler Alley,19:42,19:31,10,96062,8052
_-rjolin9n,9041114017,2024-01-27,179-57-1104,VIVIENDA_U,2 Fairview Terrace,6:44,14:41,18,32679,25045
_-saps5u,5325842692,2022-10-05,777-21-5153,HOTEL,353 Nova Street,23:36,19:05,6,57082,91591
_-gallnercl,2521770248,2019-08-21,648-89-4918,APARTAMENTO,323 School Hill,12:55,11:18,7,97016,68504
_-rnarramorb4,4398781803,2025-02-13,435-91-3776,HOSTAL,72959 Quincy Pass,12:13,18:47,5,60939,78936
_-ztwycrossdd,2088905030,2020-07-05,126-14-4981,HOSTAL,40 Darwin Court,17:30,5:14,6,94762,67416
_-mdranjo,6573332903,2025-04-04,845-44-3023,VECINOS,52 Lerdahl Alley,0:20,8:04,24,51301,63680
_-uhullotd4,4171657598,2023-11-20,566-70-1067,HOSTAL,1548 Monica Lane,23:50,16:58,21,83820,31781
_-fbigglestonefc,6362972112,2023-09-13,784-85-3020,VIVIENDA_U,20 Rieder Lane,13:27,14:13,19,89057,20504
_-slokiergc,7038344994,2020-09-01,195-82-4909,HOSTAL,78414 Eastwood Place,16:57,1:51,8,98468,89188
_-acatchpolehb,4313123008,2021-01-09,486-01-4168,VIVIENDA_U,017 Riverside Hill,13:34,19:04,24,56409,36784
_-zduckerqd,0040542327,2020-11-30,555-93-8992,APARTAMENTO,4 Grasskamp Junction,7:46,15:35,12,29946,39813
_-knarbettpa,7975320161,2023-10-10,330-78-8470,HOTEL,3 Linden Street,18:57,9:18,21,33094,10029
_-mbycraftn2,2266567918,2023-03-02,113-42-5168,P_NATURAL,937 Prentice Point,1:41,22:53,29,15778,82995
_-zduckerqd,9687829060,2024-12-12,425-84-8971,VIVIENDA_U,1118 Sundown Avenue,10:54,4:51,21,51333,60460
_-nstrapp8n,8590010732,2020-06-05,135-65-1995,VIVIENDA_U,74 Amoth Crossing,22:50,10:10,23,26778,1344
_-sconklinp5,1350439479,2023-05-30,322-86-7632,HOSTAL,1 Banding Court,13:57,11:57,6,55788,16007
_-ktomsabf,5623604102,2022-01-24,196-31-1991,VECINOS,439 Carpenter Avenue,21:10,18:42,24,99842,43582
_-jboughen6h,6662996564,2021-07-27,169-74-7167,HOSTAL,3323 Fulton Alley,0:57,21:27,29,4636,46332
_-kalelsandrovicha6,7718140016,2022-10-29,711-30-2233,HOSTAL,1 Reinke Street,13:50,14:12,15,72399,20859
_-jmcphail8r,4559439168,2021-10-29,359-79-8930,HOTEL,0 Elmside Circle,20:17,14:21,14,17319,82000
_-mcoldbatheap,0558100104,2020-08-31,656-44-8355,VIVIENDA_U,2 Eastlawn Hill,10:05,19:41,15,99967,46190
_-mrockhallok,6661399392,2019-06-27,646-46-0488,HOTEL,8335 Jenifer Alley,14:57,4:34,21,2250,17333
_-tdanilenkorn,7564170751,2025-02-16,790-99-3282,VECINOS,61606 Sutteridge Center,18:39,18:48,4,31733,57515
_-bsimondrm,0294716637,2021-03-06,147-81-9576,P_NATURAL,9 Clyde Gallagher Drive,5:41,19:22,6,31747,51758
_-slibbiei8,2225318824,2020-01-02,597-69-7218,APARTAMENTO,94196 Summer Ridge Parkway,16:17,14:07,13,3851,1829
_-akeenleysided1,9630600234,2021-03-30,109-75-9512,HOTEL,468 Randy Plaza,2:05,15:53,26,56909,25269
_-cmersey1p,0789719452,2023-07-14,102-70-2627,APARTAMENTO,22187 Lotheville Park,7:37,22:20,1,13997,68104
_-sdennisonnm,6115144167,2021-02-08,540-12-8461,HOSTAL,324 Westend Crossing,14:22,16:08,21,45627,62911
_-lkeunemann3f,8339853783,2023-01-16,863-36-9144,APARTAMENTO,07274 Farragut Hill,21:55,7:14,3,70822,29629
_-mdaltreypq,2673936254,2024-11-26,528-72-8942,HOSTAL,5869 Northfield Plaza,17:32,15:42,7,74642,83008
_-gstarkingri,5535698040,2022-09-14,598-06-7546,HOTEL,5125 Autumn Leaf Point,16:47,9:31,4,87512,51689
_-cgottg8,5344284403,2024-01-29,837-89-0772,VECINOS,1 Mendota Road,19:38,17:03,9,78725,77457
_-bbullinghamlm,2285151624,2023-04-03,364-50-5882,APARTAMENTO,51739 Hudson Junction,20:15,0:52,22,80809,84298
_-slibbiei8,0599793562,2020-09-26,862-94-3824,P_NATURAL,4 Maple Lane,13:02,18:55,5,56381,37180
_-fbigglestonefc,2581276681,2022-12-22,831-62-3181,APARTAMENTO,94782 Golden Leaf Crossing,20:42,22:46,2,39761,35014
_-lryalfr,0884143139,2021-09-04,767-35-5373,APARTAMENTO,5 American Place,20:16,7:56,2,87097,4873
_-hebben70,2168850526,2021-02-03,366-86-3369,P_NATURAL,625 Delaware Drive,14:55,12:47,11,91817,19527
_-mwestrawgu,9302066592,2019-08-18,626-20-3090,HOSTAL,774 Ridgeview Trail,2:56,11:14,5,60979,64708
_-nculbardjx,6356604603,2020-05-18,738-70-0159,HOSTAL,642 Hazelcrest Alley,22:59,20:25,16,41158,12232
_-lmugfordnf,9060933907,2021-04-12,300-13-1160,HOSTAL,498 Glacier Hill Park,17:48,6:19,3,47202,40859
_-pfeldharkerm0,4971921664,2024-02-20,264-18-3334,VIVIENDA_U,20890 5th Avenue,20:38,7:21,18,7668,87008
_-awinchcombnb,5309780459,2023-09-28,194-14-8056,P_NATURAL,9373 Steensland Lane,13:24,5:27,28,80899,74640
_-twitulea,7384080444,2020-12-16,199-53-0525,VIVIENDA_U,5908 Novick Way,15:21,11:42,10,57264,17004
_-bvanvelde43,8147907702,2022-09-02,113-09-3859,HOTEL,3896 West Avenue,13:19,6:32,11,28197,88386
_-fvanyov,8708725071,2023-11-27,205-76-4272,APARTAMENTO,14 Anniversary Plaza,19:17,8:57,27,30353,46004
_-ctitheridge3p,7315314547,2022-10-18,557-73-7593,APARTAMENTO,84 Cardinal Street,23:00,16:02,7,52358,71246
_-folijveg4,1958736996,2019-12-14,697-68-6713,P_NATURAL,2 Carpenter Circle,14:08,3:07,12,78166,52029
_-dmougetip,3376022690,2024-09-30,814-55-7905,APARTAMENTO,2910 Anthes Crossing,4:53,19:12,23,21330,28275
_-spicfordcn,9564503841,2024-04-03,297-28-7537,VECINOS,064 Bultman Plaza,8:28,20:58,4,41921,42616
_-jcrockeraf,5423609542,2021-06-30,567-77-2902,VECINOS,117 Lakeland Circle,12:27,12:31,26,66243,82246
_-bdiesnd,4560928886,2019-10-23,461-11-2992,HOTEL,7200 Little Fleur Terrace,21:38,19:26,16,51822,3943
_-tperetlt,3245926529,2023-08-20,300-92-7435,HOSTAL,7605 Park Meadow Avenue,4:23,18:12,28,91196,327
_-igascardlp,8636574307,2021-07-07,855-43-3553,VECINOS,0878 Manufacturers Street,18:31,23:03,10,63236,87891
_-anavarijo15,1330133021,2020-04-21,314-27-2764,P_NATURAL,35989 Utah Plaza,23:24,3:01,8,1112,8942
_-skissackod,4705795512,2022-08-26,831-40-2943,VIVIENDA_U,8 Ridgeview Center,18:31,13:26,13,51410,16814
_-rlaingmaidkn,5723268929,2021-08-05,185-53-5897,HOTEL,69 Westerfield Trail,4:03,15:56,28,43687,92957
_-fbull3d,1284004767,2019-07-11,157-20-3850,HOSTAL,0 Hauk Pass,1:37,5:52,30,81884,84183
_-qvolantjd,9758391283,2021-06-25,703-60-4024,HOSTAL,4292 Menomonie Crossing,7:03,10:11,25,26523,79153
_-zgearm7,3882071435,2023-06-13,545-98-8799,HOSTAL,784 Algoma Park,21:10,3:19,26,56718,50921
_-sullettf4,5163259660,2020-02-22,637-29-4386,VECINOS,451 Lawn Road,22:01,4:51,3,23708,78781
