id,tipoID,login,relacionU
5105013743,PASAPORTE,_dmacscherie0,PROFESOR
2312334615,CEDULA,_mahrend1,PROFESOR
4390254693,CEDULA,_ecaraher2,TRABAJADOR
6973295738,CARNET_U,_gfaragher3,TRABAJADOR
7722110436,CEDULA,_rparrott4,TRABAJADOR
5949690753,CEDULA,_kberard5,TRABAJADOR
7464901614,CEDULA,_gclemett6,TRABAJADOR
8176285137,CEDULA,_ocancott7,TRABAJADOR
2343802076,PASAPORTE,_jsherland8,ESTUDIANTE
4072189138,PASAPORTE,_plindstedt9,PROFESOR
5858936768,CARNET_U,_melveya,ESTUDIANTE
4001668610,CEDULA,_fgobellb,TRABAJADOR
9990043043,CEDULA,_gpengelleyc,TRABAJADOR
1409857190,PASAPORTE,_blamyd,ESTUDIANTE
3075208264,CARNET_U,_tslacke,TRABAJADOR
3136307062,CARNET_U,_ashaeferf,TRABAJADOR
5972062771,CARNET_U,_mgoodbarneg,PROFESOR
1548706043,CARNET_U,_gblecklyh,PROFESOR
8507217737,PASAPORTE,_khambyi,TRABAJADOR
5737459977,CARNET_U,_vcoverleyj,ESTUDIANTE
7271893040,CEDULA,_primingtonk,TRABAJADOR
9466169548,CEDULA,_cericssonl,TRABAJADOR
0582949815,CEDULA,_lcollopym,ESTUDIANTE
8519312381,PASAPORTE,_amacgruern,ESTUDIANTE
5675870318,CEDULA,_lgebhardo,PROFESOR
7743853098,CARNET_U,_sowerp,PROFESOR
4586796596,CEDULA,_dgalegoq,PROFESOR
8124937141,CARNET_U,_fwheeldonr,ESTUDIANTE
4931066232,CEDULA,_jkarpfs,PROFESOR
7935239169,PASAPORTE,_ktrinert,PROFESOR
1588469638,CARNET_U,_cgroococku,ESTUDIANTE
1154549658,CEDULA,_rbennallckv,ESTUDIANTE
1073584275,CEDULA,_lpilkingtonw,TRABAJADOR
5914422442,CEDULA,_cswaffieldx,PROFESOR
8385244638,CARNET_U,_edragey,ESTUDIANTE
0548635234,CARNET_U,_rosirinz,TRABAJADOR
