id,tipoID,login,relacionU
8589384624,CARNET_U,cmellish0-_,PROFESOR
9826129976,PASAPORTE,fspraging1-_,ESTUDIANTE
5599946312,CARNET_U,adashper2-_,PROFESOR
5060933326,CEDULA,dmacgiollapheadair3-_,ESTUDIANTE
2957703157,PASAPORTE,dwebley4-_,TRABAJADOR
8628396659,CARNET_U,csansam5-_,PROFESOR
6176654343,CARNET_U,rskittle6-_,TRABAJADOR
0414626826,CEDULA,emewes7-_,ESTUDIANTE
8886812574,CEDULA,raskin8-_,ESTUDIANTE
6533787543,PASAPORTE,bkemet9-_,TRABAJADOR
5978305641,CEDULA,gzywickia-_,ESTUDIANTE
4744079822,PASAPORTE,emarrableb-_,TRABAJADOR
1594690790,PASAPORTE,cicomc-_,PROFESOR
2009015290,CEDULA,sbrittend-_,ESTUDIANTE
6534998203,CARNET_U,jcockleye-_,PROFESOR
4834047784,PASAPORTE,hdurf-_,PROFESOR
4535951543,CEDULA,lsearlesg-_,TRABAJADOR
4282668385,CARNET_U,rskirvingh-_,TRABAJADOR
2118566883,CEDULA,syoulei-_,ESTUDIANTE
8017434707,PASAPORTE,llorinczj-_,ESTUDIANTE
5002775195,CARNET_U,froycek-_,PROFESOR
1898386013,PASAPORTE,gcarranel-_,ESTUDIANTE
9133017301,PASAPORTE,ahassardm-_,TRABAJADOR
0840260652,CEDULA,rferrymann-_,PROFESOR
3490887085,CARNET_U,jgrinishino-_,ESTUDIANTE
5066593187,PASAPORTE,ngilliattp-_,ESTUDIANTE
3889078524,CARNET_U,jeleyq-_,TRABAJADOR
8170414245,CARNET_U,afablerr-_,PROFESOR
4597962379,CARNET_U,gpurshouses-_,TRABAJADOR
2812063432,PASAPORTE,cbarrasst-_,PROFESOR
8755158269,PASAPORTE,bislesu-_,TRABAJADOR
8929362508,PASAPORTE,dtrentv-_,PROFESOR
0250117355,CARNET_U,kplantew-_,PROFESOR
6862802321,PASAPORTE,ifranckx-_,ESTUDIANTE
