id,numeroRNT,vencimientoRNT,registroSuperTur,categoria,direccion,horaApertura,horaCierre,tiempoMinimo,gananciaAnioActual,gananciaAnioCorrido
_-uphelipon,5384208309,2019-12-09,674-91-9807,P_NATURAL,85591 Forest Run Lane,4:13,15:46,21,79162,35543
_-vsibleyh7,5791483805,2024-04-07,611-83-4131,HOTEL,3 4th Place,12:07,2:15,13,94834,1838
_-drubinsky1s,3419656327,2020-02-10,257-38-1973,APARTAMENTO,1778 Bluestem Way,13:17,8:54,14,43915,11090
_-tscoyleser,2101317451,2021-07-19,800-21-6996,HOTEL,3738 Lighthouse Bay Street,10:31,13:03,29,54591,14503
_-aatyeodg,7016308162,2021-03-19,407-53-8453,VIVIENDA_U,79278 Veith Hill,17:30,15:38,13,53862,84081
_-nstienton34,2409786138,2019-11-24,372-88-5089,P_NATURAL,9268 Lerdahl Court,23:47,0:52,15,75173,35885
_-lvanhesteren30,3677125901,2020-12-11,803-91-5964,P_NATURAL,56 South Court,23:42,15:04,5,80100,8272
_-ojobinp3,6217580799,2021-01-23,613-32-3269,P_NATURAL,6277 Thackeray Court,23:17,1:46,9,174,14577
_-peleshenarg5,5149352330,2025-01-23,469-51-1975,P_NATURAL,178 Southridge Street,23:34,21:43,30,97865,92153
_-uphelipon,8568602738,2019-10-16,619-96-0187,P_NATURAL,21 Oak Valley Court,21:06,11:09,1,90248,8804
_-tgatfielddx,9190784804,2022-04-14,609-62-1342,VIVIENDA_U,414 Utah Drive,2:05,22:35,12,37145,31296
_-hkenan23,9192640052,2025-01-06,523-26-4549,VECINOS,7900 Milwaukee Pass,2:59,4:59,24,96535,84608
_-rhunnableh3,7391652652,2022-09-29,289-87-7318,VIVIENDA_U,8441 Eagle Crest Terrace,1:40,8:25,14,75215,44816
_-vworrall5r,1490495355,2025-02-27,429-41-5405,P_NATURAL,984 Pierstorff Avenue,22:23,12:44,14,61739,55354
_-acalrowki,6263411139,2022-12-14,118-42-8687,APARTAMENTO,4 Gale Pass,9:04,22:22,16,31517,97922
_-bdenningtonba,9990221553,2023-10-28,574-93-1470,VECINOS,660 Scoville Drive,5:01,16:19,4,99420,98560
_-pmacfaulh0,9156748027,2023-10-24,216-60-1756,APARTAMENTO,95 Sunfield Point,15:05,2:27,7,13912,83556
_-fburnsides1h,8301843829,2019-06-26,591-24-5093,HOSTAL,04 Bunting Terrace,21:01,2:28,24,73260,61533
_-ddikleskc,8697656052,2023-08-05,307-80-8661,P_NATURAL,0 Rockefeller Crossing,5:40,4:45,6,20285,11700
_-locorrinb6,7395309618,2020-10-16,301-93-5240,P_NATURAL,93246 American Point,20:20,23:08,1,78856,37343
_-dpadkiniu,9380699239,2024-09-29,821-75-2361,HOTEL,44 Debs Circle,21:05,13:21,12,14835,71061
_-mburrusj2,6354577927,2023-07-22,425-53-0206,P_NATURAL,1113 Karstens Parkway,19:22,13:57,13,87020,75187
_-jfrearsma,3149882060,2021-07-14,724-03-6452,P_NATURAL,9371 Roth Hill,17:39,0:32,24,27683,84771
_-dhannentfu,8012993570,2022-10-16,884-79-2291,APARTAMENTO,205 Cardinal Way,3:57,14:55,5,72573,37169
_-mturfittce,4953381203,2024-10-24,603-61-6077,VECINOS,4 Prairie Rose Junction,21:14,20:15,1,29288,36340
_-rnarramorb4,8162409041,2022-02-23,821-26-4242,P_NATURAL,1714 Bluestem Court,19:16,5:31,26,76120,93075
_-llaffan2v,8431511982,2019-10-16,636-42-4779,VIVIENDA_U,64079 Lien Trail,2:56,1:50,25,7123,40131
_-hgillino93,1908103841,2023-04-03,539-20-2645,VECINOS,1 Sherman Way,7:43,15:24,1,20498,8391
_-tmacsorleya2,6069067398,2020-12-21,602-10-2187,APARTAMENTO,04 Menomonie Avenue,15:51,4:35,6,28098,60775
_-rbulluck2u,1125926821,2021-12-23,216-71-2096,HOTEL,128 Loftsgordon Hill,18:06,4:38,11,2217,45877
_-tperetlt,2643600312,2024-03-28,827-23-9461,VECINOS,0 Fremont Hill,20:33,19:39,30,58699,60976
_-lcapron1w,9328150876,2020-02-27,533-35-7550,VIVIENDA_U,2318 Cherokee Circle,17:31,6:37,19,72807,49892
_-mernkeq1,5773797372,2023-10-13,240-16-6901,HOSTAL,961 Burrows Alley,6:52,6:48,26,14149,73923
_-spedder19,3523622387,2020-07-25,340-44-4174,VIVIENDA_U,369 Texas Avenue,18:29,16:13,4,22534,68114
_-mjenkyngr,3748993641,2020-02-20,590-77-6651,HOSTAL,7963 Sunbrook Circle,4:52,5:31,26,95972,58044
_-rcoviljp,3519178974,2024-04-02,603-44-4829,VECINOS,06501 Kensington Road,17:32,12:46,21,79980,62182
_-kscotchmer41,2398016277,2022-12-28,817-70-0558,VECINOS,0253 Killdeer Park,6:56,6:03,12,17862,65614
_-cmillambj,0463526678,2022-11-04,305-20-9319,HOTEL,3 Mcbride Hill,14:09,12:09,11,91418,63562
_-mbrislan1r,0352746874,2025-04-02,810-54-6559,HOSTAL,899 Schlimgen Crossing,19:32,12:39,3,94099,31160
_-btaxgw,0759266069,2023-09-06,859-85-5943,HOTEL,63680 Hintze Center,15:48,22:06,8,4049,73507
_-aingerson6k,0070732485,2022-03-29,236-01-2654,VECINOS,586 West Lane,1:17,23:40,7,42430,18381
_-amuncaster9,0897036964,2022-05-09,694-19-8665,HOTEL,27 Myrtle Lane,3:06,9:52,29,86366,11354
_-ojerroldfg,4803353573,2023-06-03,687-44-6863,HOSTAL,2116 Twin Pines Point,11:01,21:38,3,74541,42029
_-dwestbergct,6722860205,2019-08-12,167-87-4525,APARTAMENTO,4 Artisan Court,3:33,19:42,3,58454,28638
_-pkynstonpk,3827090148,2024-05-23,807-44-3945,VIVIENDA_U,0 Merrick Center,17:37,20:17,11,48335,60548
_-ksmeedlv,3727418141,2025-01-13,273-23-6841,HOSTAL,14528 Northwestern Way,16:19,19:37,27,60557,13501
_-dpadkiniu,0880836792,2022-08-29,797-66-9254,HOSTAL,7 Pawling Center,22:49,21:00,28,40605,94597
_-abruckshawcu,2654912914,2023-09-01,226-36-9362,P_NATURAL,9 Anthes Road,21:29,1:36,9,5284,51712
_-agoutee,5691613790,2019-12-10,299-70-9403,VIVIENDA_U,423 Golf Course Road,11:10,19:47,17,18514,47766
_-ghebblethwaitej8,8762951831,2019-06-14,144-58-7067,P_NATURAL,80 Michigan Place,3:07,13:21,8,66099,62540
_-mdaltreypq,1834598133,2020-10-14,259-84-4548,HOSTAL,1 Dawn Plaza,8:03,16:03,13,16701,54042
_-alebarre3r,1451893302,2019-08-31,475-55-2414,HOSTAL,001 Canary Lane,12:44,13:44,23,73712,43278
_-dreddochl8,9234566858,2020-05-22,808-54-2073,HOSTAL,1728 Brickson Park Junction,1:06,20:10,18,78358,6099
_-gluchelli68,0153092491,2019-09-14,260-14-0511,P_NATURAL,726 Coolidge Plaza,2:19,7:57,14,70929,58860
_-ycucuzzano,5423593085,2024-04-18,565-47-4272,APARTAMENTO,01 Anderson Point,22:31,15:12,13,93537,16839
_-fdollardp8,8495084295,2023-03-07,625-51-7265,HOTEL,2 Calypso Terrace,8:28,10:16,7,8780,67983
_-lflawithjb,8414185312,2022-05-21,450-95-2069,APARTAMENTO,9 Merrick Court,23:04,19:53,8,62606,56700
_-vciccoloih4,4738483358,2025-04-27,528-64-9263,VECINOS,56305 Sugar Trail,16:19,12:40,28,79386,74452
_-skissackod,8297528383,2025-02-07,192-90-2168,APARTAMENTO,60635 Artisan Point,14:30,0:01,15,61375,89757
_-ksparksot,4474801962,2023-12-26,161-02-4595,APARTAMENTO,32282 Memorial Terrace,23:50,16:28,20,95206,47586
_-eallsebrook6i,3916047507,2020-08-13,676-49-1816,HOSTAL,192 Doe Crossing Crossing,3:03,4:23,12,89457,79731
_-jrishmanhm,3603334973,2020-03-09,323-96-4768,APARTAMENTO,177 Westridge Center,2:43,23:25,18,46024,32342
_-mdranjo,2427618683,2022-01-15,251-11-3002,HOTEL,4 Melvin Road,7:51,17:54,7,88478,97545
_-lboyerah,0809935953,2022-05-24,426-88-2980,HOSTAL,82454 Prairieview Drive,5:00,10:20,1,24186,12518
_-abloomfielde9,0401798909,2025-03-08,198-11-3135,HOTEL,72 Londonderry Parkway,12:57,16:49,16,29731,64042
_-okaradzas1z,3840402883,2020-08-29,668-06-4425,P_NATURAL,88 Parkside Trail,18:45,12:58,25,65296,7760
_-mdestoucheep,5644951251,2019-10-18,729-98-9166,P_NATURAL,8 Autumn Leaf Park,21:48,1:12,17,2444,24183
_-korhtm,3326955529,2019-09-29,705-41-5184,APARTAMENTO,24 Nelson Point,21:51,23:19,12,66835,50638
_-kcastledinem1,1852903414,2023-02-25,809-06-3828,VIVIENDA_U,218 Hollow Ridge Court,1:11,7:16,7,75715,74709
_-cstockoepr,9478925326,2022-06-11,489-57-2566,APARTAMENTO,67570 Holmberg Hill,22:55,0:33,2,96379,69929
_-cbockmann5s,3468000529,2020-09-23,453-96-8692,P_NATURAL,21 Mockingbird Hill,1:46,9:54,9,36575,70289
_-kcowperthwaiteeu,3499609290,2023-10-08,503-33-0718,APARTAMENTO,6 2nd Center,20:21,6:07,15,81527,59157
_-bhardinghamgg,6893459815,2021-07-22,634-29-9592,APARTAMENTO,06999 Little Fleur Point,16:43,6:11,23,5887,41176
_-wpieter8k,9759937824,2019-08-09,352-51-8443,HOSTAL,047 Maple Wood Street,12:43,2:41,23,3586,54134
_-xpauncefortc,2326408160,2024-12-30,618-28-4719,APARTAMENTO,76 Holy Cross Terrace,15:16,3:08,15,78730,53717
_-mvideneevnh,4203396220,2022-08-28,417-96-0846,HOSTAL,7 Birchwood Plaza,22:39,22:14,14,18413,40666
_-cmcquillenga,3410991263,2024-10-29,506-58-1518,P_NATURAL,846 1st Junction,21:22,3:25,29,66961,51155
_-cmorvillegh,0264485025,2025-01-25,623-56-7916,HOSTAL,1 Shopko Road,19:09,22:53,29,55739,60448
_-lkeunemann3f,3357365847,2022-09-24,422-16-1995,HOSTAL,48 Everett Drive,21:33,1:31,22,33704,18889
_-ojavesll,3322420930,2021-01-05,633-34-4798,VIVIENDA_U,15210 Fairview Circle,10:08,20:49,21,51401,69895
_-lkeunemann3f,9164294064,2021-10-25,162-35-3346,APARTAMENTO,36 Clyde Gallagher Park,6:22,19:06,20,84339,495
_-jlivockz,8841984066,2019-09-05,592-57-8577,APARTAMENTO,1 Farmco Place,19:06,9:24,16,91241,36207
_-pmcowis2c,1687061467,2021-12-09,638-65-6793,P_NATURAL,242 Bluestem Crossing,1:25,0:55,24,1717,90349
_-ttayeb0,1320555217,2022-06-03,240-20-3128,VIVIENDA_U,3155 Mcbride Court,14:36,7:44,29,11107,51611
_-dsiegertszq2,3476267520,2022-04-15,754-74-2478,APARTAMENTO,329 Fieldstone Court,0:01,7:46,1,51825,85253
_-rdufermh,2046544315,2022-10-04,138-30-8827,P_NATURAL,5427 North Plaza,14:05,12:56,24,47853,46976
_-blieber9d,9726039711,2024-07-09,723-79-6373,P_NATURAL,3419 Bellgrove Road,19:21,21:08,4,92030,29927
_-jfaughnyej,8909018380,2020-11-18,128-66-9039,P_NATURAL,2 Melvin Lane,10:40,0:35,20,19937,99692
_-lchristescu8q,4997980382,2021-10-04,377-56-5242,HOSTAL,6785 Laurel Avenue,22:56,11:53,27,65684,10939
_-cdohms38,5097255194,2021-01-16,629-56-2768,VIVIENDA_U,85 Shopko Trail,19:07,19:40,26,72252,37100
_-rlockhurst76,2945517558,2022-11-08,313-15-2436,VECINOS,73049 Eggendart Way,12:43,18:04,29,12096,91085
_-bmccuffiex,4139416564,2022-05-29,562-52-2110,APARTAMENTO,1 Kedzie Avenue,7:50,11:04,7,47186,22712
_-jdrakard2a,5289246215,2024-02-24,352-93-8638,VIVIENDA_U,831 Prairieview Avenue,19:58,13:46,5,36240,53436
_-kagglio57,9781122609,2020-05-10,811-95-2841,P_NATURAL,1387 Hudson Point,21:14,16:52,4,24513,73243
_-ghebblethwaitej8,9790921136,2023-06-04,532-12-9205,P_NATURAL,44 Debra Way,7:07,10:20,5,68962,95760
_-fsandhillj6,8565025624,2021-11-28,722-13-4297,HOSTAL,48 Manitowish Junction,11:52,18:03,11,47923,55756
_-wmenci3l,1548937495,2022-07-23,104-56-5393,HOSTAL,03650 Prairie Rose Court,8:11,18:40,14,70618,12591
_-vskelhornoq,2324189682,2022-05-19,561-30-1566,APARTAMENTO,2 Iowa Crossing,23:38,15:22,28,83377,27755
_-ooliverpaulli3,1444448684,2023-05-28,771-59-2176,HOSTAL,1057 Canary Terrace,7:42,14:37,10,59479,76074
_-rcoviljp,4586292334,2025-04-23,807-11-5243,VIVIENDA_U,22735 Granby Plaza,15:15,18:45,4,90581,8729
_-ethaxterav,4868234617,2022-11-02,371-82-0792,APARTAMENTO,443 Bluestem Street,2:00,0:11,10,8842,15979
_-lmugfordnf,8232049553,2024-10-25,536-98-2595,VIVIENDA_U,7 Forest Dale Plaza,12:11,12:55,14,36703,10792
_-awinchcombnb,5966243956,2022-07-21,546-81-8318,HOTEL,5 Colorado Street,10:13,14:37,11,13379,77167
_-amcguckenmf,8741869443,2024-03-22,792-91-1335,VIVIENDA_U,59 Orin Way,1:50,4:18,9,88365,6064
_-ahlavacal,4529169618,2023-01-20,589-75-8618,P_NATURAL,80 Vermont Avenue,13:09,22:17,24,19138,97594
_-sworldqk,4630140476,2023-09-16,211-40-8697,HOSTAL,841 Manley Pass,15:28,18:45,13,59258,46193
_-wgoble5x,9636866902,2021-05-01,503-40-6487,VECINOS,4610 Dryden Street,22:48,15:40,6,48387,44496
_-mknowlesn6,0525602313,2020-04-16,554-14-8029,HOTEL,4 Milwaukee Park,1:41,0:23,25,89682,73778
_-sowens91,4964444023,2021-12-10,228-98-9930,APARTAMENTO,90885 Jackson Terrace,17:51,10:46,19,4431,70413
_-drudingerpb,3692680767,2022-04-22,895-62-0541,HOSTAL,983 Cardinal Avenue,21:26,23:39,13,53661,4217
_-bzanutticg,9873450408,2023-08-22,737-28-8285,APARTAMENTO,03450 1st Hill,17:30,11:30,9,47219,40049
_-lryalfr,2642892093,2025-03-08,861-71-1991,VECINOS,094 Grover Trail,6:26,10:57,5,20341,8370
_-jantonaccijw,9641776789,2021-03-16,794-11-1712,HOSTAL,1 Mccormick Terrace,15:26,19:50,6,89821,52284
_-rkerin3e,8464909179,2021-01-26,662-59-0157,VIVIENDA_U,41 Anniversary Road,15:29,0:20,15,40739,72820
_-phobdends,2656180112,2022-07-25,547-81-6202,VECINOS,1 Namekagon Circle,19:46,3:43,28,64754,62994
_-apoland14,9196355441,2025-02-10,411-70-0909,APARTAMENTO,05344 Valley Edge Point,12:44,0:29,12,95153,8435
_-aingerson6k,0592513181,2020-11-17,721-02-0114,P_NATURAL,6 Sutherland Lane,8:54,3:36,19,74226,76240
_-eposner49,5470394093,2023-05-12,326-95-4999,VECINOS,30660 Hallows Place,10:12,7:37,18,67169,53632
_-ovlasenkovc0,2220565335,2022-10-14,501-30-8298,VECINOS,32 Susan Hill,3:57,13:13,4,83761,86591
_-ztwycrossdd,7090765644,2022-03-08,181-02-0910,P_NATURAL,2660 Texas Court,15:30,12:21,2,81106,46124
_-nolohanpi,8453190356,2021-03-12,734-62-7122,HOTEL,64 Anthes Road,9:12,10:19,30,54785,20643
_-lalenie,3089448661,2022-12-25,857-02-3754,VIVIENDA_U,8272 Blackbird Avenue,3:09,6:52,7,95244,3810
_-saps5u,8029662084,2019-08-01,313-69-7743,HOTEL,478 Darwin Hill,1:06,17:09,26,30001,60689
_-jboughen6h,1352989506,2020-01-23,462-03-7635,P_NATURAL,16703 Scofield Crossing,11:00,19:43,1,69760,63906
_-mbarkleylu,3214019953,2021-03-21,836-21-9753,P_NATURAL,06635 Claremont Trail,1:40,1:48,28,91460,72448
_-dgaulebv,1903361095,2020-05-15,678-88-2758,HOTEL,935 Banding Terrace,22:11,17:08,27,88144,76872
_-kpersse9a,3378470909,2022-03-14,774-20-0339,P_NATURAL,550 Chinook Trail,3:00,16:01,4,47251,92816
_-acalrowki,2124374036,2023-05-04,268-37-7320,APARTAMENTO,3 Dorton Crossing,18:38,17:45,1,63985,95597
_-cdakhnojm,6313582586,2023-12-16,135-28-2042,HOSTAL,0 Vernon Place,22:57,21:03,4,63779,76234
_-dspurettpp,7134061280,2020-05-02,840-86-3368,VIVIENDA_U,0 Acker Court,8:14,8:13,16,534,76925
_-mbrobyngs,3700753616,2022-02-14,431-55-2929,HOTEL,5 Brown Park,15:47,22:27,28,88599,90460
_-gkendredkf,9667848949,2019-07-03,826-67-9629,P_NATURAL,9 Knutson Way,13:40,22:19,30,34010,75139
_-blieber9d,1480894613,2023-07-06,871-90-7632,P_NATURAL,73 Harbort Avenue,4:56,23:44,10,68852,43297
_-gpearneaw,4411791641,2023-04-25,315-06-9732,VIVIENDA_U,83 Towne Terrace,8:04,22:53,5,94399,82703
_-clemingc8,0509227457,2022-07-31,233-15-8086,APARTAMENTO,364 Laurel Drive,4:21,12:17,21,62524,5555
_-ipenella3t,8255077898,2024-09-21,291-76-5625,P_NATURAL,92768 Gerald Hill,8:23,10:08,2,33387,27841
_-myuryatin60,8078782632,2020-05-14,550-28-4229,HOSTAL,48 Toban Street,11:02,13:04,28,33782,40165
_-adoigegt,9804163454,2021-12-12,627-10-2449,APARTAMENTO,07 Truax Alley,8:50,7:51,6,42233,66343
_-doddboya8,9513181863,2024-08-27,615-78-0980,HOTEL,67 Reinke Plaza,7:10,16:58,9,84926,29952
_-vfewingsla,0729828697,2022-12-08,136-40-3661,HOSTAL,83834 East Alley,0:52,20:36,27,67747,65776
_-bhartillob,8503508192,2021-11-19,258-78-0837,P_NATURAL,05131 Sunnyside Hill,13:50,2:15,2,88986,41202
_-amarrian17,6574297400,2024-12-29,219-91-1444,HOTEL,4 Manley Pass,4:21,18:12,22,36588,89099
_-sconklinp5,8031831246,2020-01-30,165-06-5958,P_NATURAL,6857 Hayes Point,22:11,15:40,5,84162,3127
_-rdureden5y,2812159057,2023-02-18,857-92-3663,VECINOS,536 Clarendon Drive,11:34,3:54,9,28789,78725
_-kbonellieqj,5830218046,2021-12-25,795-68-8767,VECINOS,4 Farmco Park,21:01,14:44,13,82763,91762
_-jfucher5q,3959957297,2024-05-27,867-29-2243,HOSTAL,282 Jackson Plaza,1:40,15:25,25,52064,22251
_-vsyversenmo,5255911437,2019-09-21,641-04-5419,VIVIENDA_U,94 Northridge Hill,15:09,13:17,30,17389,33483
_-zfrillu,9496740804,2019-12-19,472-85-2364,HOSTAL,5092 Kipling Alley,14:46,11:12,6,79124,70332
_-shayhowju,8611117743,2019-06-16,339-42-7423,HOSTAL,62965 Eastlawn Crossing,12:52,1:07,7,53531,80245
_-gluchelli68,9037432115,2021-06-15,329-47-8871,P_NATURAL,62898 Moland Alley,8:42,6:00,8,56642,10814
_-bdeclerci5,3921756030,2022-08-04,836-90-8192,HOSTAL,91 Eastwood Junction,19:57,2:53,27,86531,20941
_-drubinsky1s,4542900568,2024-04-24,692-84-8999,APARTAMENTO,556 Sugar Parkway,2:32,11:46,18,72211,54631
_-ohebdenc4,6972711916,2025-02-25,745-31-1595,VECINOS,9168 Tennessee Terrace,22:08,8:03,20,25580,33751
_-oguthrum2j,6898531654,2023-03-02,780-15-3555,VECINOS,87 Sunbrook Park,23:20,19:31,16,35973,20895
_-mernkeq1,8850551290,2021-08-22,290-40-7155,HOSTAL,39763 Dapin Terrace,0:33,20:07,27,1672,25275
_-thumpherstonro,8461487605,2020-09-10,212-12-1735,VECINOS,1325 Pond Place,6:02,16:19,28,62980,92441
_-jeynaud88,0863037704,2020-12-18,624-51-7829,HOSTAL,75323 Novick Alley,0:35,6:07,19,13357,14281
_-kaspinalldt,0474016676,2019-07-19,642-49-1813,HOTEL,9934 Parkside Trail,16:46,6:41,16,45045,76898
_-ameralijk,6741632921,2023-03-03,871-47-2946,HOSTAL,5667 Mifflin Street,1:17,6:56,17,70697,73962
_-vskelhornoq,1059859793,2023-09-16,130-25-5967,VECINOS,53 Fulton Place,10:40,10:44,12,96562,88496
_-fsandhillj6,6813674676,2025-04-19,585-02-0745,HOSTAL,2 Westerfield Center,16:39,13:38,6,15541,67225
_-aohanvey1b,2506593144,2023-10-29,587-49-8750,P_NATURAL,68 Weeping Birch Street,3:53,8:36,22,46840,27986
_-kmorsomhv,7432450927,2024-06-16,764-69-1438,HOTEL,72 Victoria Road,2:28,13:05,18,37479,44774
_-dpachecons,5266744537,2022-11-13,831-08-9890,VIVIENDA_U,50 Warrior Court,14:48,20:48,27,13657,35672
_-hletch37,1862525331,2019-12-05,882-60-2509,APARTAMENTO,7 Annamark Center,6:44,16:06,6,52457,27074
_-rsoldnergk,5161942258,2021-10-23,265-81-2405,HOTEL,388 Riverside Alley,22:17,18:49,14,80886,54363
_-egridley3s,1754606644,2021-08-16,493-83-9095,VECINOS,0159 Bluejay Alley,14:52,17:17,12,14339,91807
_-gbirkbya1,7950124768,2021-08-22,160-65-4121,VECINOS,76 Reinke Plaza,13:35,15:30,30,12367,78893
_-hsvaninicm,3789670057,2019-10-28,678-88-4341,VECINOS,471 Milwaukee Road,21:51,6:37,5,25569,479
