id,tipoID,login,relacionU
6702205732,CARNET_U,--fogrady0,ESTUDIANTE
4998504304,CARNET_U,--jbewsey1,PROFESOR
9484175090,CEDULA,--bcicculi2,PROFESOR
9886134380,PASAPORTE,--mkeneleyside3,TRABAJADOR
8392569814,CARNET_U,--ldryburgh4,PROFESOR
8284240211,PASAPORTE,--medgin5,TRABAJADOR
7075621084,CARNET_U,--sizkovitz6,PROFESOR
9717050287,CARNET_U,--djillins7,PROFESOR
3693139237,PASAPORTE,--tdemendoza8,ESTUDIANTE
8631411132,PASAPORTE,--cjubb9,PROFESOR
2819689027,CARNET_U,--towensona,ESTUDIANTE
1282367870,PASAPORTE,--jdanilenkob,TRABAJADOR
7654163487,CEDULA,--qweekc,ESTUDIANTE
4546127545,PASAPORTE,--hstonbridged,PROFESOR
8332258790,CEDULA,--pbingee,ESTUDIANTE
8071487481,CARNET_U,--fjiranf,TRABAJADOR
5286488846,PASAPORTE,--jcheccuzzig,TRABAJADOR
8908662723,PASAPORTE,--bmcterrellyh,TRABAJADOR
8459029034,PASAPORTE,--bblevini,ESTUDIANTE
6976751114,CARNET_U,--shundeyj,TRABAJADOR
7578526766,PASAPORTE,--esyddiek,TRABAJADOR
3369944499,PASAPORTE,--sdunbobinl,PROFESOR
9055490601,CARNET_U,--nknottm,PROFESOR
6240217069,CARNET_U,--bgillespien,ESTUDIANTE
8611138678,CEDULA,--kduddleo,ESTUDIANTE
7540075562,PASAPORTE,--askyppp,ESTUDIANTE
4332036654,CARNET_U,--alampelq,PROFESOR
6323082683,CARNET_U,--ibennedickr,TRABAJADOR
4945509158,PASAPORTE,--kopdenorths,TRABAJADOR
1721564160,PASAPORTE,--eolufsent,TRABAJADOR
4852848785,CARNET_U,--brathbourneu,TRABAJADOR
2193949875,CEDULA,--awoontonv,TRABAJADOR
2455522962,PASAPORTE,--eglenwrightw,PROFESOR
7788377422,PASAPORTE,--tmcmullenx,TRABAJADOR
9643538354,CEDULA,--mgoodfieldy,TRABAJADOR
3762003335,CEDULA,--jgavanz,PROFESOR
2928572449,CEDULA,--cvasilischev10,TRABAJADOR
3589123699,CEDULA,--nheakins11,ESTUDIANTE
5539984188,CEDULA,--sstoffer12,TRABAJADOR
4169553780,CEDULA,--wnorster13,TRABAJADOR
3868163794,CARNET_U,--cwyllcock14,PROFESOR
3119707643,CEDULA,--vweight15,ESTUDIANTE
0091143195,PASAPORTE,--sschubart16,ESTUDIANTE
3941731831,CARNET_U,--rhawthorn17,PROFESOR
2985852536,CEDULA,--kgrabham18,ESTUDIANTE
0520217748,CARNET_U,--mtakos19,PROFESOR
4429530300,CEDULA,--fflacke1a,PROFESOR
1336897260,CEDULA,--eirving1b,TRABAJADOR
4623048497,CEDULA,--kdaysh1c,TRABAJADOR
9962945607,CEDULA,--svasilenko1d,TRABAJADOR
4148237448,CEDULA,--smonahan1e,TRABAJADOR
2900309697,CARNET_U,--smalek1f,PROFESOR
3539927212,PASAPORTE,--rcumpsty1g,TRABAJADOR
2382938544,PASAPORTE,--vgronowe1h,PROFESOR
6300214044,CARNET_U,--amitroshinov1i,PROFESOR
6207490703,CARNET_U,--rmulqueeny1j,PROFESOR
7632780602,CEDULA,--ctresise1k,ESTUDIANTE
7671463213,PASAPORTE,--emcdowell1l,ESTUDIANTE
6719592777,PASAPORTE,--jdonisthorpe1m,TRABAJADOR
6804438507,CEDULA,--maucutt1n,PROFESOR
1659507197,CEDULA,--hokuddyhy1o,ESTUDIANTE
7633542977,CEDULA,--mbugbird1p,TRABAJADOR
4449352963,PASAPORTE,--mborres1q,PROFESOR
9066167467,CEDULA,--htutton1r,PROFESOR
0679233679,CEDULA,--jclell1s,PROFESOR
7677851053,PASAPORTE,--olysaght1t,TRABAJADOR
0200820184,CEDULA,--lgenney1u,PROFESOR
9982346539,CARNET_U,--bscriver1v,ESTUDIANTE
8214722772,CARNET_U,--emoyes1w,ESTUDIANTE
0413721612,CARNET_U,--gsemechik1x,ESTUDIANTE
2934858219,CARNET_U,--lrentoll1y,TRABAJADOR
5043631384,PASAPORTE,--amantram1z,PROFESOR
3453665236,CEDULA,--sbessom20,PROFESOR
4052560140,CARNET_U,--cscarr21,PROFESOR
4975025620,PASAPORTE,--slehr22,ESTUDIANTE
8792854117,PASAPORTE,--gkesterton23,ESTUDIANTE
1387267108,CEDULA,--mfrankcombe24,ESTUDIANTE
1424527457,CEDULA,--ehabbert25,ESTUDIANTE
0071726950,CARNET_U,--dwasteney26,PROFESOR
9264401504,PASAPORTE,--mgennrich27,PROFESOR
1616439947,CEDULA,--lkilbane28,PROFESOR
2701858488,CEDULA,--bstolle29,TRABAJADOR
7887581443,CEDULA,--ndrabble2a,TRABAJADOR
3432985827,PASAPORTE,--mtomich2b,ESTUDIANTE
7700873127,CARNET_U,--brobinson2c,ESTUDIANTE
9726878497,CARNET_U,--nquail2d,ESTUDIANTE
1701487578,CARNET_U,--cgodley2e,TRABAJADOR
1464241236,CARNET_U,--syashunin2f,TRABAJADOR
3451941481,CEDULA,--fcolbertson2g,PROFESOR
0420820418,CEDULA,--kgarraway2h,ESTUDIANTE
4299397657,PASAPORTE,--bjewitt2i,TRABAJADOR
4367109844,PASAPORTE,--klawling2j,PROFESOR
6240136905,CARNET_U,--kdabnor2k,TRABAJADOR
3084175802,CARNET_U,--tspurnier2l,TRABAJADOR
3415010740,PASAPORTE,--pschukert2m,TRABAJADOR
3729794329,CEDULA,--tbalderston2n,TRABAJADOR
9813775610,CARNET_U,--dbramham2o,PROFESOR
5289921575,PASAPORTE,--jstollwerck2p,PROFESOR
8886519885,CARNET_U,--pmaryet2q,ESTUDIANTE
7201516787,CARNET_U,--gtull2r,TRABAJADOR
4242739419,PASAPORTE,--sreaman2s,ESTUDIANTE
5034268337,CARNET_U,--kabbitt2t,PROFESOR
6088471034,PASAPORTE,--ebedding2u,ESTUDIANTE
8541260186,CARNET_U,--ckener2v,PROFESOR
9760807866,CEDULA,--sheadey2w,TRABAJADOR
5812301379,PASAPORTE,--dkovacs2x,PROFESOR
0771727143,CEDULA,--kdullingham2y,PROFESOR
7097155914,PASAPORTE,--santowski2z,TRABAJADOR
2837304212,PASAPORTE,--fdanelet30,PROFESOR
6158871133,CARNET_U,--lmercik31,ESTUDIANTE
2829349962,CARNET_U,--sdelayglesias32,PROFESOR
9083684180,CARNET_U,--rbisley33,TRABAJADOR
2141783844,PASAPORTE,--eperelli34,PROFESOR
4348058946,CARNET_U,--gpoundesford35,TRABAJADOR
3309541290,CEDULA,--ncrofts36,PROFESOR
5277255591,PASAPORTE,--abeamond37,PROFESOR
3309814386,CEDULA,--hwetherill38,ESTUDIANTE
0130836443,PASAPORTE,--apuleque39,TRABAJADOR
3935697198,PASAPORTE,--gwildish3a,TRABAJADOR
3440004589,CARNET_U,--foakton3b,PROFESOR
9729525595,CEDULA,--gmanser3c,ESTUDIANTE
2691645495,CARNET_U,--epoland3d,TRABAJADOR
1338934929,CEDULA,--eholstein3e,ESTUDIANTE
2165092736,PASAPORTE,--dlangwade3f,TRABAJADOR
6145121424,CARNET_U,--tgethyn3g,ESTUDIANTE
3972992696,CEDULA,--bboxen3h,PROFESOR
1167343409,CARNET_U,--aswanborrow3i,ESTUDIANTE
7726839082,PASAPORTE,--pmcgonigle3j,PROFESOR
8112416834,PASAPORTE,--mmerrgen3k,TRABAJADOR
5128214869,PASAPORTE,--ldawes3l,ESTUDIANTE
4269146958,CEDULA,--ebowser3m,ESTUDIANTE
3676214374,PASAPORTE,--wmathew3n,PROFESOR
6740675732,CARNET_U,--bpheasant3o,PROFESOR
4229823460,CEDULA,--sdanilyuk3p,PROFESOR
3163588824,CEDULA,--stwoohy3q,PROFESOR
8736662828,PASAPORTE,--bgilbert3r,TRABAJADOR
0917167554,PASAPORTE,--agreest3s,ESTUDIANTE
9904133182,PASAPORTE,--ddrewson3t,PROFESOR
7719019105,CEDULA,--tgissing3u,TRABAJADOR
7459684910,CARNET_U,--tlongman3v,TRABAJADOR
1003619215,PASAPORTE,--enardrup3w,PROFESOR
5458630459,CARNET_U,--mmeldrum3x,ESTUDIANTE
