id,fechaInicio,duracion,cantidad,tipo,cliente
1,2020-02-09,11,18,APARTAMENTO,3433
2,2018-12-03,3,28,APARTAMENTO,3977
3,2019-02-13,27,8,APARTAMENTO,3209
4,2018-10-18,17,34,HABITACION,3452
5,2018-12-04,2,12,HABITACION,3329
6,2019-12-05,2,8,HABITACION,3032
7,2018-12-25,24,35,APARTAMENTO,3286
8,2019-10-28,7,26,APARTAMENTO,3234
9,2020-01-26,4,15,APARTAMENTO,3082
10,2018-10-30,25,1,HABITACION,3176
11,2020-03-08,25,19,HABITACION,3014
12,2019-11-21,3,18,HABITACION,3881
13,2019-03-24,24,23,HABITACION,3618
14,2019-04-04,13,4,HABITACION,3206
15,2020-03-04,28,37,APARTAMENTO,3483
16,2019-09-03,7,1,HABITACION,3408
17,2018-10-31,21,3,HABITACION,3915
18,2018-12-11,22,13,APARTAMENTO,3636
19,2019-05-11,16,2,APARTAMENTO,3960
20,2019-11-09,5,23,HABITACION,3072
21,2020-01-21,13,37,HABITACION,3624
22,2019-06-16,19,5,APARTAMENTO,3964
23,2019-06-24,14,16,HABITACION,3721
24,2019-03-14,20,14,HABITACION,3205
25,2018-12-15,5,2,APARTAMENTO,3739
26,2019-08-06,30,26,APARTAMENTO,3725
27,2019-10-01,3,3,APARTAMENTO,3944
28,2019-03-21,10,1,APARTAMENTO,3435
29,2019-07-25,7,6,HABITACION,3612
30,2020-05-07,8,29,APARTAMENTO,3552
31,2019-05-25,18,5,APARTAMENTO,3241
32,2018-12-17,23,21,HABITACION,3330
33,2019-02-05,7,32,APARTAMENTO,3065
34,2018-12-13,6,16,APARTAMENTO,3334
35,2020-04-27,14,27,HABITACION,3013
36,2019-05-09,11,4,HABITACION,3013
37,2019-05-12,10,17,APARTAMENTO,3753
38,2019-09-08,4,13,HABITACION,3173
39,2019-10-24,28,7,HABITACION,3542
40,2019-01-08,3,23,APARTAMENTO,3200
41,2019-09-12,5,5,HABITACION,3301
42,2019-03-03,25,33,HABITACION,3905
43,2019-04-02,28,29,HABITACION,3074
44,2018-12-17,25,21,HABITACION,3105
45,2019-05-06,8,20,HABITACION,3628
46,2019-02-26,29,16,HABITACION,3200
47,2020-05-20,13,3,HABITACION,3986
48,2019-10-16,9,16,APARTAMENTO,3336
49,2019-05-10,23,30,APARTAMENTO,3659
50,2020-01-22,15,22,HABITACION,3968
51,2019-10-19,15,11,APARTAMENTO,3585
52,2019-11-04,2,7,APARTAMENTO,3733
53,2019-08-04,20,14,APARTAMENTO,3896
54,2019-09-06,12,29,HABITACION,3956
55,2019-12-29,3,23,HABITACION,3904
56,2020-05-01,28,26,APARTAMENTO,3853
57,2020-01-13,5,26,HABITACION,3608
58,2019-10-17,8,18,HABITACION,3403
59,2019-02-11,8,11,APARTAMENTO,3226
60,2019-02-24,12,25,APARTAMENTO,3127
61,2019-07-28,1,15,APARTAMENTO,3011
62,2019-03-18,19,16,APARTAMENTO,3092
63,2019-11-25,25,1,HABITACION,3216
64,2018-11-12,13,11,HABITACION,3938
65,2019-06-29,13,10,APARTAMENTO,3778
66,2019-05-31,7,40,APARTAMENTO,3214
67,2019-11-12,3,11,HABITACION,3506
68,2019-08-21,26,26,HABITACION,3423
69,2020-04-24,15,32,HABITACION,3036
70,2018-11-17,28,19,HABITACION,3346
71,2019-11-06,14,24,APARTAMENTO,3210
72,2020-05-04,27,38,HABITACION,3346
